Silver(00:00:00): 音频也可以。
孙玲(00:06:16): 但是当时因为也他们也不太能太远。首先距离物理上面的距离让他们没有那么多的心思和能力来干预，我要做的决定。如果我决定做了这个事情，决定去做这个事情的话，我觉得他们也没有到最后也是要妥协，尊重我的决定。他，但是慢慢的，他看到我，他们看到我比较独立，越来越可以掌控自己的人生的时候，他们就即使有点反对，但后面也会尊重我的一些想法。

孙玲(00:06:51): 那我觉得每个人的情况确实都不太一样，不被理解的时候确实会带来一些给自己的想要去活成的一种状态，会造成一些混，就造成一些 noise 吧，我觉得可能是也会有一些压力，并且可能会怀疑我自己现在做的这些决定。要不要往前走。这种认可和理解就是确实就得慢慢自己去寻找，尤其是身边的人确实也是非常重要，因为他们也非常关心你，非常爱你，他们可能也是从他们的一个角度来去提供一些一些一些知识和一些角度。

孙玲(00:07:33): 我觉得你自己觉得你慢慢在寻找你自己要走的方向，我是觉得是会可能有一些阻力。也会慢慢找不到吧，但是你说有什么方法，我觉得确实就是我不会觉得说有一些什么 ABC 的方法，然后就可以套用，然后就你能够实现觉得反而可能就更多的还是得要去自己和自己相处去接纳吧，我觉得反而可能这种心态在尤其在面做一些大决定的时候。

Silver(00:07:49): 对。

孙玲(00:08:07): 就尽量不要避免在非常痛苦，非常失望，大起大落的时候去做一个追求，可以让自己慢下来去接纳一下当下的一个处境，可以意识到我的身体是一个什么样子的感受，可以当下什么样子的一些情形就有一个比较。强烈的比较，至少有个清晰的认知，再去做决定之类的。

Silver(00:08:30): 我也感觉自己可能最开始的这种物理隔离和经济独立，基本上就可以奠定这种最基础的一个条件，然后剩下的话可能就是自己要去。调整，因为其实我也是，就是我一直从那种 TMP 的那种县城出身的，然后可能后来父母工作调动来了，就是城市里面也是三线。

Silver(00:08:54): 其实我之前为什么会想留学，是因为真的是一个特别偶然的原因就是我加了一个网友，然后他去参加是国际学校的参加那种国际活动就是里面会。就是因为宣传的也特别什么什么国国际精英，然后什么人类学社会学，然后就是觉得高中生就应该去学这些，我就会因为当时我在应试教育里边。因为我觉得现在的应试教育就已经特别畸形了，就是比方说一周可能只有半天的休息，早上七点到晚上十点都在学校里面，我觉得这个压力是很普遍的，然后抑郁的症状其实也是在逐年上升，这个很多调查都有说。但是因为我看到了另一个教育体系，我就觉得好像我更适合那一种，然后那我就无论如何都要去跳到那一种体系里面，所以说我也会想问一下，又卡了是吗？

孙玲(00:09:47): 我还可以听得比较清晰。

Silver(00:09:54): 所以说我也会想问一下姐姐就是你当时怎么确定自己的一个路径的是怎么想到去转码这样的一个决定。

孙玲(00:09:55): 可以的。

孙玲(00:10:07): 转码倒是比较直观，就是比较直接，我到时候必须要去学习一门技能。可以听到我说话吗？

Silver(00:10:08): 是信息差。可以听到。

孙玲(00:10:18): 对我的路径，当时候学码学转码的话其实就比较直接，因为当时我必须下周要脱离我所在的工厂环境。不想从一个工厂到另外一个工厂，不想可以过一眼可以看到头的生活，我就必须得要去学习一门新的技能，但当时候我只知道可以去学习编程，所以的话就去学习编程了，所以就当时全力以赴，即使我也不知道之后会怎样，但话，如果我不往前走，后再又回到之前的状态，我反而好像没有什么可以失去的。所以可以做到这种全情投入后面如果我觉得在出国留学或者是去提升自己的英语水平，提升自考本可能这个就确实就会基于自己的一个比较有自己的一个意识，有一些自我意识，有自己的一些慢慢。

孙玲(00:11:18): 接判断主观的判断和价值观能体现出国留学的话，也是想要丰富自己的一些经历，感觉没有什么。之前的一些经历没有太多能够感动我自己的就是我在跟我朋友或者是身边人分享的时候，也好像我的经历都是比较平，没有什么一些。

孙玲(00:11:45): 多姿多彩精彩的部分，那我觉得出国留学，我至少如果在国外陌生的国家，陌生的文化陌生的语言去生活，或者是工作一段时间，我至少是好像一说了，这个事情我都自己会比较会。开心发光，骄傲，就有开始说想要去看看，想要去体验，差不多都是有基于这个这样子的一些想法吧，我因为我感觉自己在体验在看更大的事件方面，我是有很强的一个好奇心。觉得只有自己去听，自己去看了去听了去体验了，好像才有一些比较可以说得出。的一些具体感受。

Silver(00:12:34): 我看你也是经常去徒步，然后旅游啥的，然后其实我觉得今天的交流，我觉得还是抱着就是我也想认识更多的你，然后我也希望你可以认识更多的我这样的一个目的在。

孙玲(00:12:50): 说特别好，我很欣赏，我也很认可，我觉得有这样子的一个空间，可以让我们两个人现在此时此刻可以隔这么远隔时差，然后能够这样子交流，并且我们之前也没有认识过，然后但是一下子就进入一个比较高密度的交流空间。

Silver(00:12:50): 对。

孙玲(00:13:14): 我觉得很荣幸，不是我很荣幸，就是我感觉不是一般人就很就是我的故事被更多人知道带给我的这种荣幸，所以很感激。

Silver(00:13:24): 因为我真的觉得就是可能一般的人，一般世俗的眼光，看来，可能我觉得你是一种阶级跨越的例子，或者是什么什么样，但我感觉我跟你交流下来，你一直表现的特别平和，就是我觉得好像你。心里内心里更想的不是说我要成功，或者说我要干，而是我要去探寻更多的世界。我要我想要去更多人交流，然后包括就是我和你交流的时候，我一直感觉就是我们在一个很平等的位置上，虽然就是我们，我觉得这种机会也是特别难得的可能在之前的一些社交场合里面，我可能习惯性的去做一些下位或者。但是能够今天和姐姐这样子，那个交通，我也感觉可能他对我的人际关系和对人际可能对关系的认知会有一些新的影响和思考，有时候这种影响就是潜移默化的传递出来的。我看你经常也会分享一些自己对关系的思考特别重要。

孙玲(00:14:31): 刚刚最后一句话好像要被 cut 掉，然后可以再重复一次，没问题。

Silver(00:14:40): 我没有问问题，我因为就看你也平时会分享挺多对关系的思考，然后感觉这个也很重要，就是好像在。就像你说的，好像在陌生的国度，我们反而可以脱离这个文化的限制，更真实的去活出自己就是能够想象到就是我们。做出去陌生的国度生活学习这个决定在很多人看来是危险或者是脱轨这样的一个情况的。只能说其实这条路上也有很多人，我们要做的是把彼此汇聚起来，然后互相支持，然后我们至于其他人的想法，也许他们发心是好的，但是他们的角度对我们来说不是一个适合的角度，也不应该做太多的参考。

孙玲(00:15:31): 只有这样我看看看到你刚刚给我分享的在旅居，毕竟你好像也去过一些很美丽的地方，云南做过一些。旅居的相关的一些工作，我对这一个方面还挺感兴趣的还挺好奇，挺新奇的，然后你说通过旅居可以认识到更多的人认识到不同的文化，我确我觉得确实是这样子就是。就如果在一个地方生活久了，完全是圈子确实会越来越小，所认知的事件所看到的事件，其实也确实是一这个地方所体现出来的一个一个一个圈子，一个画面。当你跳脱到另外一个圈子，另外一个文化确实会我觉得会带来一些触动会带来更多的一些，我觉得这个可能确实也是只是一种方式而已，这种方式可以让我更加的比较沉浸式的去做一些事情。

孙玲(00:16:34): 当然看自己每个人需求，当时现在的一个需求就是想要去体验更加 exotic 更加抑郁的，更加的就是新鲜的。或者是让我比较有，就是听到这个地方都可以让我发，我想要去追求的，我觉得这个就无可厚非，就我觉得去就去做自己，让自己开心的事情，一辈子为什么要让自己没那么感觉确实就没必要，就是让自己。不用那么不开心。

Silver(00:17:24): 刚刚好像又卡了。稍微关一下。

孙玲(00:17:26): 要不要。

Silver(00:17:32): Hello. 

孙玲(00:17:36): 可以听到断断有点断断续续的是我这边网络吗？

Silver(00:17:44): 现在我也不知道我们。我觉得现在好了，它就是稍微会卡一下子。

孙玲(00:17:54): 我刚刚也就大概对关系和事件的关系和我觉得确实不同的文化会带来一定的。

Silver(00:17:59): 对因为不允许。

孙玲(00:18:07): 新鲜度吧。

Silver(00:18:14): 我感觉还是把视频给关掉！

孙玲(00:18:14): 那不太理想好。

Silver(00:18:19): 觉得可能关掉要稍微顺一点。因为因为其实我接触到这个生活还是蛮偶然的，因为像我们之前的话，可能在一个地方找一份工作，就现在可以听清楚。

孙玲(00:18:38): 对。

Silver(00:18:40): 对就是现在就以前可能会觉得你要不就换一个地方找一个工作，要不然就是在老家躺平。很老，但是就是我之前有去，我觉得这种社区好像也是近几年才兴起起来的，反正我感觉建立的时间都不是很长，就可能22年往后吧，然后这种社区就是说。一般是在那种乡村，然后那种那个像那种世界上比较出名的是那种巴厘岛泰国这种地方会很多这种数字文明社区，然后像国内的话，像什么云南大理或者是其实各个地方都有，然后它一般是在那种乡村上，然后一般可能是说那种有远程工作和国际化背景的人。会喜欢来这里进行一个地理套利可能赚着美元花人民币，然后这样子去生活，然后这种生活就是给了我，就是我感觉它是给了在学校和家庭之外，我又有一个去处，因为之前就会觉得你必须要有一份工作，你才能够在某个地方安身立命。那现在这个社区的话，我觉得它是给了一个过渡，在这里。以前会觉得我除了上学就是回家，包括家里管的也非常严，就基本上没有第三个空间可以去，然后自己也不知道去哪，如果两个地方都很痛苦的话，就要不然就可能在虚拟世界里面去寻找一些危机，但是现在这个社区就是给了一个。

Silver(00:20:06): 就是一个第三个地方，然后让我可以以低成本的方式去和当地的那种人相处，并且能够聚集一帮就是相对比较价值观统统一的人，包括进去一般也是要去填个问卷筛选一下啥的，然后感觉大家在那个地方都还比较追求自由，都还比较互相尊重。然后就是没有太多，就是这种体制内的权力斗争，或者是这种纷争啥的会少一点，这种生活状态好像就是我现在比较理想的，并且也是我的。成本可以负担的对，但是现在会我爸或者是什么人就会说你久了你就废了，出去久了你就不想学习了，这样不想读书了。

Silver(00:20:53): 然后我总觉得很想反驳他，就是我，因为我知道我在学校里面才是在混日子，在学校里面，我感觉现在的大学教育就是远远不像，就不像我想象的那样子就很多形式主义的部分，然后管管理的我也特别不舒服。可能上的课就这个老师也水，学生也水，因为我学校本身也是二本，然后我现在就会觉得说可能我出去了，我才是真的在对自己负责，并且我觉得我会为了我想过的生活而坚持学习，但是我觉得就这种事情很难跟上一辈沟通，然后就是大家的思想。大家成长环境完全不一样，像他们尤其是体制内的话，就吃尽了，这个时代体制的红利完全不理解为什么要走。

孙玲(00:21:40): 接下来我觉得就是你在旅居的经历里边会能感受到真实的自己，就是也能再建立一些真实的连接，真实的关系，跟自己认可认同的人去建立连接。在这些经历里面多样的。

Silver(00:22:00): 对它是很多样的。

孙玲(00:22:09): 我想就是了解就是你什么时候会觉得自己最接近真实的自己。在这些旅居的经历里面有哪些时刻，哪些时候让你觉得好像在活出真实的自己，在活出你自己想要的样子。

Silver(00:22:24): 我觉得是我上个暑假一年以前，一年以前我马上要回来学校，然后那个时候是休息，刚休学完就是我就觉得又要回到学校这个场景里面去了，因为我感觉我没有攒到钱，我不知道。包括自己那种可能有一些动力不足的状态，可能每天就躺很多个小时，在床上也没法下来，然后在这种情况下，你是很难够，很难说去。

Silver(00:22:52): 攒到钱，然后给自己一个出国留学的自由，然后在我即将回到学校的前夕，我和当时在那个社区比较好的朋友一起吃饭，他们就来送我。然后那个时候我跟他们说了一句话，我说。我感觉我之后就只能进体制了，就只能怎么怎么样，因为可能就是说家庭会，家庭和很多人都会觉得你这样走是更稳妥的是更的。

Silver(00:23:22): 然后这边可能也有一些资源什么的可以给到你，然后我就当，但是我听到这个我会觉得很难过，很难受，我会觉得很限制住，因为它和我的价值观根本就不一样。我很多喜欢的东西在那里面都会被打成异类，都会被很严重的限制和这种甚至是羞辱什么的。然后会然后他们会就是特别严格的去限制你的每一个言论，每一句话，然后我们权利关系特别明显，我觉得不是我想要的，然后当时他们就，但虽然说我知道这不是我想要的，但是好像还是觉得说。

Silver(00:23:58): 好像我只能这样，当时我朋友就只跟我说一句话，他说你不用被限制的，就他就在这个时候，我就会觉得好像是这样，我会觉得就只需要你有另一个人跟你说一句话，就是说你可以活出你自己，你可以不这样，我就能够有很深的动力，我就可以不被，只要有另一个想法，在这里我就不用被一种想法所完全洗脑。

孙玲(00:24:18): 修学对你来说，其实更像是一种逃离，一种，也可以说另外一个词可以说是一种积累。就休息。

Silver(00:24:34): 都有。我会比较好奇，在你的视角里面，你会觉得像什么干部或者是修学这些会是。以后找工作的缺陷吗？或者说它是你要 depends it depends 的一个东西。

孙玲(00:24:57): 我觉得这个是特别重要的一个一个空间，一个时间我不知道有没有听那个头部花的那个常谈的节目，他还在说起自己的一个 business idea。就说在北欧国家有专门的这种 gap year 的这种 program 就有专门的大学，好像不知道，反正就是一个一个一个空间，他们是允许接纳，就是从 gap year 出来，他们可以去学自己想学东西，你学三个月也好，学六个月也好，就是。

Silver(00:25:11): 我有关注。

孙玲(00:25:31): 可以有一个这样子的一个尝试的一个试验尝试的，然后他发现中国就没有，然后反而就是在中国确实就是你如果你 gap 的话就会被。

孙玲(00:25:41): 批判或者是会有一些负面的影响在求职的时候，他就想在中国可能也确实也可以去打造这样子一个空间允许 gap year 允许就是有人可以暂停去探索自己想要真正追求的东西。我觉得是特别，我听到是让我比较印象深刻的，然后在我在美国生活这么多的时间，很多人确实就会 get，然后没有那么着急，就是我一定要去在这个阶段时间我就是去读大学，去建立家庭生小孩就有这么一个空间。

孙玲(00:26:20): 允许自己慢下来去探索，或者去尝试一些不一样的事情，我觉得很重要，我觉得你现在做这个事情，因为你有在进行这个扭矩，甚至你还想去留学当海员，然后做自媒体，你现在都在尝试这些东西，我觉得很。很可贵。

Silver(00:26:42): 我是的，我感觉我这些话对我来说真的蛮重要的，有时候就是你，你只要听到一个人对你说了不同的观点，就会觉得。之间这个世界并不全是你身边的这样子的一个场景，然后我相信你也能够知道这句话是什么意思就是从工厂里面出来的时候，可能走上美国飞机的那一刻，可能也是一样的心情。

Silver(00:27:10): 然后就是托福花，我有一点点关注吧，但我没有关注这么多，我想到就是其实现在我有了解到一些机构是在做这种休学的，因为抑郁的比例非常高，基本上去那个。那个心理科都是门诊挂号都排满的人，然后基本上都是青少年，然后像现在的这个情况的话，我觉得这个需求这个机构也是应运而生的，然后包括现在就是中国这边在传，就是说九子离火运就是这种疗愈类的会特别高，因为大家的心理压力说实话都到一个点了，需要这种疗愈。

孙玲(00:27:27): 感冒了。

Silver(00:27:44): 然后我包括也在接触一些这种机构，因为我平时也喜欢做这样的活动，包括他的，他也是一种疗愈和那种心理咨询的平替吧，我觉得算，然后就是我在。我在想，其实你刚刚说的话，我会觉得说，哪怕是脱不花，它现在是最知名的企业家之一了，他的包括他自己也说了，他当时也选择上大学，然后他我觉得他们。可能在这种传统的主主流的你还是需要一个学历去做一个背书，但是在很多新兴的行业，你可以就是远远就是这个行业里面位子，那可能不是最主流的，但它绝对是够你去这个地方发光发热，它接纳你这样子的。一个身份，然后它能够提供资源在这里去，而且并且可能以后两三年这种机构会越来越多。也许如果我今年休学，我才到这个点上，说不定我又能有一个新的创业 ID 说不定我又能做出更多的成就，然后这个都是不好去预测的。

孙玲(00:28:44): 还有如果你现在就学去做旅居自媒体，那是你想给自己未来的自己去讲这个故事，就你愿意去，就是你在构建自己的故事，你这个故事是愿意去分享给别人的吗？就是你还是愿意。读大学，然后这样子慢慢的一步一步往前走，然后听大家听觉得我觉得也是一条路，然后但是你现在有那么多的选项，然后你现在我觉得就是在你在构建你自己想要未来，在未来的某一个时刻，我很高兴很骄傲，我做了这个事情，即使我当时很累，然后也觉得这个事情我很。很值得我在讲这个故事的时候，跟别人分享这个故事的时候，我自己觉得是欣慰的是值得的，是感到我自己的。

Silver(00:29:38): 我觉得我现在做的事情，我更愿意把它定义为一种探索和一种疗愈，就是这种旅居和留学都只是一个形式。然后我觉得我在做的事情是我要选择几十年以什么样的价值观去生活，我要和什么人接触，然后我觉得我应该要看过足够多的样本之后，我才能够真正的选择什么才是最真实的自己。

Silver(00:30:04): 然后这种真实的自己就是要可能有时候要做好不被主流社会所接纳的对得一个问题课带一下，我觉得。但我觉得其实就哪怕你被接受的，但如果你没有活出真实的自己，你也是没意义，也是不开心的，然后像你刚才说就是有没有想过把故事区分下，其实肯定是有的，但是确实就没有太多的水花，然后就是它是需要就自媒体要写作，要它是需要你的一个经历做支撑的，我觉得我的经历还不够丰。

Silver(00:30:35): 不，有一个疑虑，就是说我之前有尝试过去稍微分享就是休学啥的，其实马上收到了很多的负反馈，就尤其是那种成年的人，尤其是工作的人，我之前去上一个。某某那个综艺求职节目，然后我说我要休学了，然后那个主持人说我求你回去上学吧，然后他说就是你休学了，你怎么跟以后的 HR 解释？然后我就会想就是你休学的时候没有想到，我可能有什么原因有什么，但你第一方面想的是我以后求职的市场要怎么解释，就是有一种。有我那我也不是在怪他了，但我觉得这确实是反映了一个东西，就是说大家现在对真实的人的交往其实很少的，更多的是把你看成一个社会性的功能。

孙玲(00:31:27): 感觉特别好，确实会偏比较功利方法会，我觉得他们也是确实可能接触的就是这样子，好像人生的路径。没有那么多的可能性，当下最保险最安全，让他们最安心的一个方式。

Silver(00:31:47): 你你想问一下，你觉得在美国这么多年会觉得那边思想大家包容度会更开放一些吗？还是说其实像他们的精英群体是要更绝更功利的？

孙玲(00:32:05): 我觉得在美国确实在生活和工作平衡这块是要比中国要好一些吧，在我在支持性。举言类卷文化里边我是没有感受太多的，反正确实是一个比较包容性，知识性比较强的一个环境，但我也不能代表其他公司哈，但是现在我只能是说我在美国工作的环境。算是在科技大厂比较多一些，之前我是在高盛，也算是一个大厂，然后在那之前也在 ebay ebay 工作很短一段时间，然后在那之前也在谷歌，反正大概大部分都是比较。人多大的一个大公司的环境，那公司环境里边，我觉得他们提供给到我的一个印象。会每个人都有自己的这种主人翁的意识，有这种意识又体现在工作也体现在生活在工作上面就是我负责的事情，那就是我要把它做好，而不是说我是我的工作，要做好。而是说我对得起自己是一种让我更加心安，让我更加靠近自己的一个事情。我如果没有做好，我就感觉在远离自己在不对，不是在为自己负责，即使我对这个工作也没那么多的热情，但是我在做的事情的时候。

孙玲(00:33:33): 我得要有这样子的一个意识，至少我对在很多时候我是能感受到身边的人身边工作的人都是有这样子的一些意识，然后再加班卷的话，我就感觉还好，没有那么卷，就是你可以停留在你现在的一个位置，当然我觉得这个市场可能现在也慢慢不能变得不好，但至少我觉得我现在如果我想停留在这个位置，我至少可以停留。那如果我想往上爬，想要往上竞争，我也可以多多去抓住机会去锻炼自己去提供价值。这个就大概的是一个我的真实感受吧，就可能也是年纪越大，可能也会越来越清楚，知道自己也想要什么，就我在国内工作的时候，我会觉得自己就是一个工具，就是一个打工人，你让我加班，那我就加班，我就去把它做好。但从来没有想象过说我自己的事情，我要去从中感受到这种价值。在提供，更就是在做出一些有价值的事情，没有就只是一个任务感更加重一些。大概是。

Silver(00:34:46): 就是现在我前两天还看到一个谁发视频，也是一个什么人类学家说，现在大家都把自己牛马化就觉得人是那种牛马，而不是说我是要做自己的事情。

孙玲(00:34:57): 可能确实环境会给人再带来一些很多的影响，如果都没有空间和 capacity 去思考自己。意识到自己在做的一些事情有占据了多少时间和空间，有时候如果一个环境太累或压缩的都没有空间去思考，去意识的话，确实会很难去觉醒很难。

孙玲(00:35:27): 执行这个词可能也不是很好，但是会即使我可能有意识到这是一个问题，但是生活已经把我压的都没有 capacity 去做一些改变，因为好像。停留在保持这样子的一个状态，已经花了很多力气了，然后我再去花力气去改变，其实是一个非常有风险的，又有花很费力的一个事情。

Silver(00:35:52): 我能方便问一下您的年龄吗？

孙玲(00:35:57): 我比你大好大。我现在是90年35对。

Silver(00:35:57): 因为。那感觉也是，正是人生的黄金年龄。

孙玲(00:36:11): 会越来越觉得有压力，所以我感觉你现在21岁有这么非常清晰的一个认知，主动能动性在探索自己的什么是真实的自己。什么是我想要构建的故事，什么是我现在的卡点，对这些东西处理的很清楚，真的非常的钦佩。

Silver(00:36:32): 行我也觉得说，其实我觉得您的在知名度已经很高了，你也。在做自己这条道路上，然后也帮助了很多人，然后你还能以这样一个心态去来和我交流，我觉得也特别的可贵，然后也非常谢谢你。

Silver(00:36:58): 到我之前看到说为什么 gap year 对国内的 HR 是不好的，可能不仅仅是说觉得你这一段时间缺乏了工作，就是赶 gap 的人，他可能本身就是比较追求自由，不太会被 PV 不愿意就只当一个螺丝钉的人，这可能反而不是公司想要的。也是一个说法。

孙玲(00:37:23): 也有些公司确实也在我可能确实得看不同的公司，我觉得发现中国很多公司还是有在做很多的调整，至少有可能这自媒体看到的也不是特别全可能，尤其看到某一个方向可能越看越来越多的这种方向的内容就。会越来越多，导致所看的一个信息会造成一个信息解放，我也不确定现在对中国的职场有了解多少。

Silver(00:37:54): 没事，因为可能我自己想的，我以后的变现可能不仅仅是我觉得我是不太可能是进入这种职场的就除非是我特别感兴趣的行业，就比如说游戏这些可能会进大厂，但我感觉他们也要。卡你做的项目或者是卡你做的什么，但我觉得在近，反正就是可能进大厂也不能进，但我觉得我主要做的可能还是说做自己独立的一个小生意，不管是就是个人的咨询，还是说这种去卖一些手工艺品，或者是就是去个人的去约稿，感觉我可能。

Silver(00:38:32): 更多的是这样的一个方式，只不过说我之前跟你说第三条里面说的，我现在可能这方面还没有做起来，它确实是一个不稳定的东西，然后在这个基础上，我可能还得要去找一个。比较有保障的，每天能够拿到工资的一份工作去支撑我自己度过这一个地方，然后等到某一天自己的这种小小的商业闭环跑起来，我就可以辞掉每天上班的生活。

孙玲(00:39:01): 这个思路是对的，因为有一算有一份相对稳定的工作，会给你提供很多的心力，这种 mentality 和 capacity 会花会节省很多的这种空间去，不用担心这个暂时不用担心这个经济问题。

Silver(00:39:10): 对。

孙玲(00:39:21): 所以就会有更多的空间去思考自己的内容可以做哪些内容，可以给自己带来更多的这种清晰度也好，给你带来就是自己想要达到的一个状态也好，我觉得其实是有必要的。

Silver(00:39:36): 我能问一下你现在是？

孙玲(00:39:37): 现在做事情 sorry？

Silver(00:39:39): 没有你先说。

孙玲(00:39:42): 对我感觉要辞职再去全职做内容相关的确实会很大的压力，我现在也做也是全都是只是把自己的思考过程梳理过程，让我的生活有更多的清晰度，我觉得就是当人有了更高的清晰度之后会。更加的从容一些，会知道自己当下在做什么，在思考什么，就不是那种浑浑噩噩的一个状态的话，会生活更开心一些更加。

孙玲(00:40:20): 我觉得这种内容输出是因为确实得要去思考，去怎么去输出，从哪一些角度去。切入让你有更多让自己喜欢自己的一些输出，也能够带来一些收益的话，那肯定是更好的，但我觉得一开始确实我觉得很难，我不知道怎么去做，我现在的些变现都不太没有变现，几乎是没有什么变现。之前倒是有现在我没有感觉自己有一份不错的工作，完全可以支撑我的生活的话反而就是没有把更多的空间来去让我思考我自己想写什么东西就写什么东西，想做什么，想发什么就没有那么大的一个压力。

Silver(00:41:09): 对我也觉得就是其实很多，哪怕是那种职业的作家，他最开始都是在边上班边写小说的，就哪怕他出出名了之后，他可能还是在继续上他们班。然后我能问一下您具体是在哪个城市吗？

孙玲(00:41:23): 在美国西雅图。西北。

Silver(00:41:31): 感觉之前也听过很多关于这个城市的那种传记或者小说啥的，会感觉那是一个怎么说，有一个梦想的地方，或者是比较。很多有华人在的地方。

孙玲(00:41:48): 对你说特别的是很多华人的这边有一个词特别的描述，就 take heavy 很多大厂在这边就亚马逊和微软就占了很宽，占了很多人。然后谷歌虽然不是最大的公司在里面，但这边也有好几个 office。比较不大不小的 office，然后还有其他 meta 这种大公司，还有医药公司都挺多的，是华人确实就感觉在公司在路上都能听到，那这个也是一个很好的事情。

Silver(00:42:25): 中国话。

孙玲(00:42:27): 你想去参加一些活动，能交到一些想要，如果你有社交能量的话，想要去交朋友比较容易，我如果我想自己想组织一个什么活动，我感觉也能够拉到几个人去做一些连接，做一些。

孙玲(00:42:47): 互相交流，互相认识的一个一个作用。但其他另外我觉得西雅图更美的地方就是大自然，对山水雪山。

Silver(00:42:53): 樱花。

孙玲(00:43:00): 特别美，在城市就可以看到 mount rainier 那个雪山不知道有没有看到过那个西雅图的一些景色风景照片，它有一个地标，就是那个 space needle。就太空中，然后但是在那个 carry park 是可以看到太空中又可以看到远处的雪山就会有，就算也算是比较独特的一个地方。然后3月有樱花华大的樱花是没有日本那么出名，但是也很。

孙玲(00:43:31): 美就是如果你之后来西雅图的话，可以找我们一起吃饭，一起聊天。

Silver(00:43:36): 会的我一定会来的，可能不是近几年。

