person_id,display_name,real_name,contact_channel,contact_value,short_intro,primary_theme,tags,related_records,source_path,connection_fit,consent_to_connect,privacy_level,needs_review,notes
person-20250329-杨帆,杨帆,,,,男性；教育/AI教育项目发起或参与者；教育、AI 素养、儿童/家长服务、直播和项目合作,商业合作和项目邀约,"AI, role_model, 主动性, 合作邀约, 教育",consult-20250329-yangfan-ai-education-collaboration,一对一咨询/20250329210011-转写_杨帆.txt,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202312-法学大三学生,法学大三学生,,,,女性；国内；目标可能是国外读 CS 硕士并当地求职；普通一本法学专业大三学生，明年毕业；本科在读，法学专业；尚未工作,文科转码,"出国, 女性处境, 法学, 考公考研, 转码",consult-202312-law-to-cs-overseas-normalized,问答咨询/一本法学专业大三想转码出国.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20241007-深海鱼,深海鱼,,,,女性；潮汕背景；在广东佛山定居和工作；在职，同时有副业想法；内衣板师，约8年经验；曾在服装厂流水线、电子厂、内衣结构设计相关岗位工作,早期职业迷茫,"内衣板师, 副业, 女性处境, 服装, 潮汕, 自卑",consult-20241007-shenhaiyu-underwear-pattern-maker-growth,一对一咨询/2024年10月/12-深海鱼.md,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202312-王小猴,王小猴,,,,35岁；女性；定居上海；目标是和丈夫一起去美国/湾区；在职；工作12年，在大外企做合规调查相关工作,文科转码,"35岁, Python, 家庭, 美国, 转码, 阶段目标",consult-202312-age35-compliance-to-us-coder,问答咨询/202312.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20240907-王开昌,王开昌,,,,男性；惠州；想靠近影视/导演/剪辑方向；在职；从事 IQC 工作,家庭影响和自我边界,"亲密关系, 内向, 剪辑, 影视, 社交",consult-20240907-wangkaichang-iqc-film-dream-introvert,一对一咨询/2024年9月/5-王开昌.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20240823-王林银,王林银,,,,27岁；男性；目前在日本；曾在上海工作；了解过 Day 1 CPT 学校；在日本做测试工程师；测试工程师；此前在上海工作5年，做过外包,出国读书和海外求职,"Day1CPT, 专科, 日本, 英语, 软件测试",consult-20240823-siji-japan-qa-day1cpt,一对一咨询/2024年8月/1-王林银.md,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202211-老读者,老读者,,,,已进入一家理想企业工作,私域沟通边界,"加微信, 私域, 边界",consult-202211-wechat-boundary,问答咨询/202211.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202211-考研纠结女生,考研纠结女生,,,,未明确提及；追问里说自己曾觉得“26岁好像属于自己的青春就结束了”，说明她受到 26 岁和婚育年龄压力影响；女性；未明确提及；正在考研/职业路径选择阶段,学历提升和考研,"女性处境, 家庭压力, 找工作, 考研, 自我边界",consult-202211-career-vs-grad-school-family-opinion,问答咨询/202211.md,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202301-自考本科咨询者,自考本科咨询者,,,,,出国读书和海外求职,"学位证, 成绩单, 美国硕士, 自考",consult-202301-selfstudy-degree-miu-application,问答咨询/202301.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202303-自考计算机考研生,自考计算机考研生,,,,想申请港澳新学校；考研二战失败后求职/申请选择阶段；自考生；考研专业是计算机,学历提升和考研,"找工作, 港澳新, 考研, 自考, 计算机",consult-202303-selfstudy-cs-gradschool-work,问答咨询/202303.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202302-艺术类专科生,艺术类专科生,,,,专科三年级，接近毕业；同时有自媒体副业收入；重点高中毕业，高考失利后读金融专业一个月退学，复读后进入艺术类专科，学习播音主持相关方向；自媒体副业，能获得不错收入,出国读书和海外求职,"出国, 家庭创伤, 本科, 自媒体, 艺术",consult-202302-art-student-overseas-undergrad-plan,问答咨询/202302.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202312-艺术系老师,艺术系老师,,,,北京；艺术系老师；艺术/文科背景；艺术教育和艺术科技创作,AI学习和AI教育,"Python, 文科, 编程入门, 艺术科技",consult-202312-art-tech-python-start,问答咨询/202312.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20250921-赵岩,赵岩,,wechat_from_filename,wx_123_888,男性；长期在北京，短期到上海外包，准备返京；想去国外/美国工作；Java 后端从业者，工作不稳定中；Java 后端,出国读书和海外求职,"Java, 债务, 工作不稳定, 海外工作, 签证, 美国",consult-20250921-zhaoyan-debt-overseas-work,一对一咨询/20250922115717-转写_wx_123_888 _ ling.txt,unknown,unknown,private,yes,从原始文件名推断，需人工确认；需人工确认联系方式、重复合并和连接意愿
person-20250811-赵高明,赵高明,,,,男性；在职；当前工作与编程不相关,早期职业迷茫,"个人成长, 社交, 编程, 英语, 行动力",consult-20250811-zhaogaoming-programming-english-action,一对一咨询/20250811122912-转写_赵高明 _ 孙玲.txt,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20240928-阿甘,阿甘,,,,28岁；男性；美国洛杉矶；提到可能搬到西雅图；C8 签证，在洛杉矶送外卖；国内理科本科，和 IT 不完全相关；后参加培训班学 Java,出国读书和海外求职,"Java, mentor, 外卖, 洛杉矶, 美国, 英语",consult-20240928-agan-la-delivery-cs-mentor,一对一咨询/2024年9月/10-阿甘.md,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20240830-陈晓念,陈晓念,,,,30+，可能 late 30s；女性；深圳；想去北美；在职；深圳外企 AI + 软件开发 team lead,出国读书和海外求职,"AI, team_lead, 内向, 北美, 房贷, 软件开发",consult-20240830-chenxiaonian-northamerica-introvert-tl,一对一咨询/2024年8月/3-陈晓念.md,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20250529-陈虹,陈虹,,,,,,,,人生教练/陈虹/20250529212802-转写.txt; 人生教练/陈虹/第一个月.md,unknown,unknown,private,yes,已合并 2 条候选记录；需人工确认联系方式、重复合并和连接意愿
person-20260208-黄泽铭,黄泽铭,,,,男性；曾在深圳认识；想未来可能出国读艺术类学校、见更大的世界；待业/暂未找工作，正在集中学习自考剩余科目；中专后工作；目前自考大专，和我一样参加深圳大学相关自考路径,学历提升和考研,"AI学习, 出国, 学习方法, 学历, 自考, 艺术学校",consult-20260208-huangzeming-self-study-degree-planning,一对一咨询/20260208130029-转写_黄泽明.txt,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20250831-龚保鸡丁,龚保鸡丁,,,,26岁；女性；上海；未来期待 2027/2028 左右来美国或西雅图见面；已入职英文环境的外包 QA 岗位约一个月；自考大专/自考本科，初中后较早开始打工,早期职业迷茫,"QA, offer选择, 低学历, 出国, 加班, 测试开发, 美国留学, 职场成长, 英语, 软件测试",consult-20250831-gongbaojiding-offer-choice; consult-20250925-gongbaojiding-english-followup,一对一咨询/20250831205315-转写_Nsar-ns _ Ling.txt; 一对一咨询/20250925120015-转写_龚保鸡丁.txt,maybe,unknown,private,yes,已合并 2 条候选记录；需人工确认联系方式、重复合并和连接意愿
