id,kind,record_type,title,primary_theme,tags,layers,privacy_level,status,source_path,source_consult_id,record_path
consult-20260611-cornelia-robotics-ai-transition,02-normalized,qa_thread,大专女生咨询AI机器人转行、职业选择与内部评价系统,早期职业迷茫,"职业转型, 行动力, 自我怀疑, 年轻女性, AI, 找工作","content, service, connection",private,normalized,一对一咨询/20260611-wechat-cornelia-cavendish-inquiry.md,,02-normalized/consult-20260611-cornelia-robotics-ai-transition.md
issue-20260606-age-anxiety-overseas-study,03-issue-units,,年龄焦虑和35岁风险下，要不要用海外读书换一条路,出国读书和海外求职,"年龄焦虑, 35岁, 美国硕士, 职业转型, 海外求职","content, service",anonymized,split,问答咨询/202311.md,consult-202311-age53-us-study-programmer,03-issue-units/issue-20260606-age-anxiety-overseas-study.md
issue-20260606-age35-remote-side-income,03-issue-units,,如何把35岁焦虑变成远程工作和副业假设验证,早期职业迷茫,"35岁, 年龄焦虑, 国外远程, 副业, 英语","content, service, connection",private,split,一对一咨询/2024年10月/13-yyyjjjsss.md,consult-20241018-yyyjjjsss-remote-dev-age35-plan,03-issue-units/issue-20260606-age35-remote-side-income.md
issue-20260606-artist-learn-python-for-creative-work,03-issue-units,,艺术科技创作者从零学编程，是否可以从 Python 开始,AI学习和AI教育,"艺术科技, Python, 编程入门, 文科, creative coding",content,anonymized,split,问答咨询/202312.md,consult-202312-art-tech-python-start,03-issue-units/issue-20260606-artist-learn-python-for-creative-work.md
issue-20260606-ask-vs-create-information,03-issue-units,,哪些问题该问人，哪些信息要自己创造机会获得,早期职业迷茫,"主动性, 写作, 英语, 留学, 信息收集","content, service, connection",anonymized,split,一对一咨询/2024年9月/8-成得荣.md,consult-20240916-chengderong-rural-dev-writing-overseas,03-issue-units/issue-20260606-ask-vs-create-information.md
issue-20260606-big-dream-first-step,03-issue-units,,目标很大但路径很散，怎么拆出第一步,早期职业迷茫,"工厂, 抖店, 编程, 英语, 目标拆解","content, service",private,split,一对一咨询/2024年10月/14-QINGHE20210418.md,consult-20241028-qinghe-factory-doudian-programming-dream,03-issue-units/issue-20260606-big-dream-first-step.md
issue-20260606-burnout-rest-or-restart,03-issue-units,,长期倦怠时，该休息还是重新出发,家庭影响和自我边界,"倦怠, 纽约, 自我比较, 职业选择, 作品感","content, service, connection",private,split,一对一咨询/20250829115713-转写_Lil _ Ling.txt,consult-20250829-lil-burnout-newyork-life-direction,03-issue-units/issue-20260606-burnout-rest-or-restart.md
issue-20260606-coding-bootcamp-judge,03-issue-units,,怎么判断编程培训班是否靠谱,文科转码,"培训班, bootcamp, 信息收集, 沉没成本","content, service",anonymized,split,问答咨询/202312.md,consult-202312-liberal-arts-python-bootcamp,03-issue-units/issue-20260606-coding-bootcamp-judge.md
issue-20260606-coding-interest-low-cost-test,03-issue-units,,不确定是否喜欢编程，怎么低成本验证,文科转码,"编程兴趣, CS50, 低成本试验, 转码","content, service",anonymized,split,问答咨询/一本法学专业大三想转码出国.md,consult-202312-law-to-cs-overseas-normalized,03-issue-units/issue-20260606-coding-interest-low-cost-test.md
issue-20260606-consultation-goal-clarity,03-issue-units,,咨询开始时，如何确认对方真正想要什么,早期职业迷茫,"咨询流程, 需求澄清, DBA, 学习心态",service,private,split,一对一咨询/2024年8月/2-刘智龙.md,consult-20240826-liuzhilong-dba-remote-grad,03-issue-units/issue-20260606-consultation-goal-clarity.md
issue-20260606-day1cpt-miu-compro-judge,03-issue-units,,Day 1 CPT、MIU/Compro 类项目应该怎么判断,出国读书和海外求职,"Day1CPT, MIU, Compro, 美国硕士, 签证","content, service, connection",anonymized,split,一对一咨询/2024年8月/1-王林银.md,consult-20240823-siji-japan-qa-day1cpt,03-issue-units/issue-20260606-day1cpt-miu-compro-judge.md
issue-20260606-degree-choice-controllable-vs-uncontrollable,03-issue-units,,选学校和学历路径时，如何区分可控和不可控,学历提升和考研,"香港, CS, 本科, 在线硕士, 学校选择","content, service",anonymized,split,问答咨询/港大学生小刘.md,consult-202312-hk-student-cs-degree-choice,03-issue-units/issue-20260606-degree-choice-controllable-vs-uncontrollable.md
issue-20260606-dream-self-worth-small-action,03-issue-units,,梦想和自我价值感纠缠时，如何从很小一步开始,家庭影响和自我边界,"内向, 影视, 剪辑, 自我价值, 创作","content, service",private,split,一对一咨询/2024年9月/5-王开昌.md,consult-20240907-wangkaichang-iqc-film-dream-introvert,03-issue-units/issue-20260606-dream-self-worth-small-action.md
issue-20260606-english-weak-overseas-tech-path,03-issue-units,,技术背景不错但英语弱，还适合走海外读书或求职吗,出国读书和海外求职,"英语, 技术背景, 美国硕士, 海外求职, 风险","content, service",anonymized,split,问答咨询/202306.md,consult-202306-seven-years-dev-us-miu-risk,03-issue-units/issue-20260606-english-weak-overseas-tech-path.md
issue-20260606-enter-programmer-community,03-issue-units,,没有程序员朋友，怎么进入技术社群,文科转码,"技术社群, 社交, 开发者大会, 信息源","content, connection",anonymized,split,问答咨询/202312.md,consult-202312-liberal-arts-python-bootcamp,03-issue-units/issue-20260606-enter-programmer-community.md
issue-20260606-family-not-understand-self-path,03-issue-units,,不被家人理解时，如何保护自己的探索,家庭影响和自我边界,"年轻女性, 自我怀疑, 创作, 家庭关系, 现金流","content, service, connection",private,split,一对一咨询/20250820122553-SIlver _ 孙玲.txt,consult-20250820-silver-self-belief-creator-path,03-issue-units/issue-20260606-family-not-understand-self-path.md
issue-20260606-finish-small-degree-goal,03-issue-units,,自考剩几科卡住时，如何用小目标推进学历,学历提升和考研,"自考, 学历, 学习方法, AI学习, 目标拆解","content, service, connection",private,split,一对一咨询/20260208130029-转写_黄泽明.txt,consult-20260208-huangzeming-self-study-degree-planning,03-issue-units/issue-20260606-finish-small-degree-goal.md
issue-20260606-gender-diversity-tech-misconception,03-issue-units,,女生进入科技行业是否有性别红利,文科转码,"女性处境, 科技行业, diversity, 面试, 转码",content,anonymized,split,问答咨询/一本法学专业大三想转码出国.md,consult-202312-law-to-cs-overseas-normalized,03-issue-units/issue-20260606-gender-diversity-tech-misconception.md
issue-20260606-grad-school-vs-work-family-opinion,03-issue-units,,考研还是工作，如何在家人意见中拿回决定权,学历提升和考研,"考研, 找工作, 家庭压力, 自我边界, 女性处境","content, service, connection",anonymized,split,问答咨询/202211.md,consult-202211-career-vs-grad-school-family-opinion,03-issue-units/issue-20260606-grad-school-vs-work-family-opinion.md
issue-20260606-input-without-action,03-issue-units,,输入很多但行动很少，怎么开始建立反馈,早期职业迷茫,"行动力, 编程, 英语, 社交, 低成本试验","content, service, connection",anonymized,split,一对一咨询/20250811122912-转写_赵高明 _ 孙玲.txt,consult-20250811-zhaogaoming-programming-english-action,03-issue-units/issue-20260606-input-without-action.md
issue-20260606-language-school-career-identity,03-issue-units,,语言学校能不能变成海外工作和身份路径,出国读书和海外求职,"语言学校, 爱尔兰, 日本, QA, 身份","content, service, connection",private,split,一对一咨询/20250923115513-转写_王林银 _ 孙玲.txt,consult-20250923-siji-japan-ireland-language-school,03-issue-units/issue-20260606-language-school-career-identity.md
issue-20260606-law-to-cs-overseas,03-issue-units,,法学大三想转码出国，是否可行,文科转码,"转码, 出国, 法学, 女性处境, 找工作","content, service",anonymized,split,问答咨询/一本法学专业大三想转码出国.md,,03-issue-units/issue-20260606-law-to-cs-overseas.md
issue-20260606-liberal-arts-cs-fit,03-issue-units,,文科或非典型学历背景，现在转编程还合适吗,文科转码,"文科转码, 非典型学历, 编程, 职业转型","content, service",anonymized,split,问答咨询/202312.md,consult-202312-liberal-arts-python-bootcamp,03-issue-units/issue-20260606-liberal-arts-cs-fit.md
issue-20260606-midcareer-grief-career-rebuild,03-issue-units,,亲人离世和职业断裂后，如何重新建立方向,早期职业迷茫,"大龄职业转型, 哀伤, 心理学, 职业重建, 意义感","content, service, connection",private,split,一对一咨询/20250918140527-孙玲的个人会议室.txt,consult-20250918-seven-midcareer-grief-career,03-issue-units/issue-20260606-midcareer-grief-career-rebuild.md
issue-20260606-new-role-prioritize-learning,03-issue-units,,刚进入新工作环境，英语、技术和转岗目标应该怎么排优先级,早期职业迷茫,"英语, QA, 测试开发, 职场成长, 学习计划","content, service, connection",private,split,一对一咨询/20250925120015-转写_龚保鸡丁.txt,consult-20250925-gongbaojiding-english-followup,03-issue-units/issue-20260606-new-role-prioritize-learning.md
issue-20260606-nontraditional-degree-overseas-cs,03-issue-units,,非全日制/自考/专科学历能不能申请海外 CS 相关项目,出国读书和海外求职,"非全日制学历, 自考, 专科, 美国硕士, CS","content, service",anonymized,split,一对一咨询/20260308125902-转写_Kerwin-转写智能优化版-1.txt,consult-20260308-kerwin-us-master-cloud-computing,03-issue-units/issue-20260606-nontraditional-degree-overseas-cs.md
issue-20260606-offer-choice-status-vs-growth,03-issue-units,,选 offer 时，体面稳定和成长空间怎么取舍,早期职业迷茫,"offer选择, 软件测试, 英语, 低学历, 职业成长","content, service, connection",private,split,一对一咨询/20250831205315-转写_Nsar-ns _ Ling.txt,consult-20250831-gongbaojiding-offer-choice,03-issue-units/issue-20260606-offer-choice-status-vs-growth.md
issue-20260606-official-policy-vs-alumni-experience,03-issue-units,,申请项目时，哪些问题必须直接问学校,出国读书和海外求职,"美国硕士, MIU, ESL, 学费, 官方信息",content,anonymized,split,问答咨询/202211.md,consult-202211-miu-java-esl-fees,03-issue-units/issue-20260606-official-policy-vs-alumni-experience.md
issue-20260606-overseas-not-fast-debt-solution,03-issue-units,,欠债或现金流紧张时，出国工作是不是快速翻身路径,出国读书和海外求职,"债务, 海外工作, Java, 财务风险, 签证","content, service",private,split,一对一咨询/20250922115717-转写_wx_123_888 _ ling.txt,consult-20250921-zhaoyan-debt-overseas-work,03-issue-units/issue-20260606-overseas-not-fast-debt-solution.md
issue-20260606-overseas-path-cost-language-degree,03-issue-units,,出国路径里，学历、钱、语言和申请应该怎么排序,出国读书和海外求职,"出国规划, 学历, 资金, 语言, 申请","content, service",private,split,问答咨询/202302.md,consult-202302-art-student-overseas-undergrad-plan,03-issue-units/issue-20260606-overseas-path-cost-language-degree.md
issue-20260606-personal-story-commercial-collaboration,03-issue-units,,有人想把我的个人故事放进商业项目时，如何判断边界,商业合作和项目邀约,"AI, 教育, 合作邀约, role_model, 个人品牌",service,private,split,一对一咨询/20250329210011-转写_杨帆.txt,consult-20250329-yangfan-ai-education-collaboration,03-issue-units/issue-20260606-personal-story-commercial-collaboration.md
issue-20260606-private-wechat-boundary,03-issue-units,,如何回应读者加私人微信的请求,私域沟通边界,"加微信, 边界, 私域, 咨询流程",content,anonymized,split,问答咨询/202211.md,consult-202211-wechat-boundary,03-issue-units/issue-20260606-private-wechat-boundary.md
issue-20260606-python-vs-java-beginner,03-issue-units,,初学编程时，Python 和 Java 应该怎么选,文科转码,"Python, Java, 编程入门, 学习计划",content,anonymized,split,问答咨询/202312.md,consult-202312-liberal-arts-python-bootcamp,03-issue-units/issue-20260606-python-vs-java-beginner.md
issue-20260606-selfstudy-exam-work-overseas-priority,03-issue-units,,自考生考研失败后，三战、工作和申请海外怎么排序,学历提升和考研,"自考, 考研, 计算机, 港澳新, 找工作","content, service",anonymized,split,问答咨询/202303.md,consult-202303-selfstudy-cs-gradschool-work,03-issue-units/issue-20260606-selfstudy-exam-work-overseas-priority.md
issue-20260606-small-city-women-work-or-study,03-issue-units,,小城市女生该先考研还是先去大城市工作,小城市女性职业起步,"小城市, 大城市, 找工作, 考研, 女性处境","content, service, connection",anonymized,split,问答咨询/202211.md,consult-202211-small-city-work-study,03-issue-units/issue-20260606-small-city-women-work-or-study.md
issue-20260606-stable-skill-next-stage,03-issue-units,,有稳定技能后，下一阶段如何打开市场和人脉,早期职业迷茫,"传统技能, 服装, 副业, 市场, 女性处境","content, service, connection",private,split,一对一咨询/2024年10月/12-深海鱼.md,consult-20241007-shenhaiyu-underwear-pattern-maker-growth,03-issue-units/issue-20260606-stable-skill-next-stage.md
issue-20260606-technical-student-job-definition,03-issue-units,,技术背景不弱但担心找不到好工作，怎么定义好工作,早期职业迷茫,"技术求职, GPU, 开源代码, 工作生活平衡, 找工作","content, service",anonymized,split,一对一咨询/2024年9月/6-K.md,consult-20240911-k-gpu-master-job-balance,03-issue-units/issue-20260606-technical-student-job-definition.md
issue-20260606-young-woman-leave-family-environment,03-issue-units,,年轻女生想学英语和计算机，背后可能是想离开原生环境,家庭影响和自我边界,"年轻女性, 英语, 计算机, 家庭创伤, 安全感","content, service, connection",private,split,一对一咨询/2024年9月/7-Alex.md,consult-20240914-alex-young-english-cs-family,03-issue-units/issue-20260606-young-woman-leave-family-environment.md
issue-20260610-online-cs-to-offline-opt-feasibility,03-issue-units,,在线硕士（Online Master）转线下（On-campus）的可行性与 OPT/签证规划,出国读书和海外求职,"在线硕士, 美国硕士, 转码, 签证, OPT","content, service",anonymized,split,02-normalized/consult-20260610-tonylu-civil-eng-us-cs-transition.md,consult-20260610-tonylu-civil-eng-us-cs-transition,03-issue-units/issue-20260610-online-cs-to-offline-opt-feasibility.md
issue-20260611-jump-job-vs-cash-cow,03-issue-units,,职业抉择：选择目标行业边缘的低薪杂活，还是选择高薪高自由度的保底工作？,早期职业迷茫,"职业转型, 找工作, 行动力, 自我怀疑","content, service",anonymized,split,02-normalized/consult-20260611-cornelia-robotics-ai-transition.md,consult-20260611-cornelia-robotics-ai-transition,03-issue-units/issue-20260611-jump-job-vs-cash-cow.md
issue-20260611-motivation-shift-pain-to-curiosity,03-issue-units,,当生活稳定、逃离感减弱时，如何从“痛苦驱动”转向“好奇与常态积累”？,家庭影响和自我边界,"行动力, 自我怀疑, 年轻女性, 倦怠","content, service, connection",anonymized,split,02-normalized/consult-20260611-cornelia-robotics-ai-transition.md,consult-20260611-cornelia-robotics-ai-transition,03-issue-units/issue-20260611-motivation-shift-pain-to-curiosity.md
